old_id,new_id,status,old_name,new_name,brand_old_id,brand_new_id,category
198,976,EXISTING,ARMAÇÃO NYLON,ARMAÇÃO NYLON,82,82,FRAME
199,1006,CREATED,SALDO DEVEDOR 2014,SALDO DEVEDOR 2014,92,339,ACCESSORY
200,1007,CREATED,LENTE VS HAYTEK1.56 AR,LENTE VS HAYTEK1.56 AR,88,88,LENS
201,1008,CREATED,LENTE HOYA VS1.50 AR CE,LENTE HOYA VS1.50 AR CE,51,51,LENS
202,1009,CREATED,RENEGOCIAÇÃO,RENEGOCIAÇÃO,92,339,ACCESSORY
203,203,EXISTING,ARMAÇÃO DETROIT,ARMAÇÃO DETROIT,37,37,FRAME
204,1010,CREATED,ARMAÇÃO NYLON,ARMAÇÃO NYLON,94,94,FRAME
205,8,EXISTING,ARMAÇÃO NYLON,ARMAÇÃO NYLON,5,5,FRAME
206,206,EXISTING,JEAN MONIER SOLAR,JEAN MONIER SOLAR,2,2,FRAME
207,1011,CREATED,ARMAÇÃO NYLON,ARMAÇÃO NYLON,95,95,FRAME
208,1012,CREATED,ARMAÇÃO NYLON,ARMAÇÃO NYLON,42,42,FRAME
209,209,EXISTING,LENTE VS1.50 TRANSIT AR C4,LENTE VS1.50 TRANSIT AR C4,51,51,LENS
210,210,EXISTING,LENTE VS1.50 TRANSIT AR,LENTE VS1.50 TRANSIT AR,51,51,LENS
211,211,EXISTING,ARMAÇÃO DA VINCI,ARMAÇÃO DA VINCI,34,34,FRAME
212,212,EXISTING,LENTE VS1.49 TRANST AR,LENTE VS1.49 TRANST AR,83,83,LENS
213,213,EXISTING,ARMAÇÃO INTELECTUM,ARMAÇÃO INTELECTUM,18,18,FRAME
214,214,EXISTING,LENTE P HOYALUX18WP1.67T,LENTE P HOYALUX18WP1.67T,51,51,LENS
215,215,EXISTING,LENTE P HOYALUX18WP1.67T/AR,LENTE P HOYALUX18WP1.67T/AR,51,51,LENS
216,216,EXISTING,LENTE P HOYALUX WIDE BKS 1.67 SENSITY,LENTE P HOYALUX WIDE BKS 1.67 SENSITY,51,51,LENS
217,217,EXISTING,LENTE HOYALUX WIDE BKS 1.53 TRANSIT AR,LENTE HOYALUX WIDE BKS 1.53 TRANSIT AR,51,51,LENS
218,218,EXISTING,LENTE P HOYALUX18WP1.5/I,LENTE P HOYALUX18WP1.5/I,51,51,LENS
219,1013,CREATED,LENTE PROG. HOYALUX18P1.5/AR,LENTE PROG. HOYALUX18P1.5/AR,1,335,LENS
220,220,EXISTING,LENTE P HOYALUX18WP1.5/T,LENTE P HOYALUX18WP1.5/T,51,51,LENS
221,221,EXISTING,LENTE P HOYALUX18WP1.5T/AR,LENTE P HOYALUX18WP1.5T/AR,51,51,LENS
222,222,EXISTING,LENTE P HOYALUX18WPTX1.53/I,LENTE P HOYALUX18WPTX1.53/I,51,51,LENS
223,223,EXISTING,LENTE P HOYALUX18WPTX1.53/AR,LENTE P HOYALUX18WPTX1.53/AR,51,51,LENS
224,224,EXISTING,LENTE P HOYALUX18WP1.53TX/T,LENTE P HOYALUX18WP1.53TX/T,51,51,LENS
225,225,EXISTING,LENTE P HOYALUX18WP1.53TX T/AR,LENTE P HOYALUX18WP1.53TX T/AR,51,51,LENS
226,226,EXISTING,LENTE P HOYALUX18WP1.67 INC,LENTE P HOYALUX18WP1.67 INC,51,51,LENS
227,227,EXISTING,LENTE P HOYALUX18WP1.67/AR,LENTE P HOYALUX18WP1.67/AR,51,51,LENS
228,1014,CREATED,LENTE HOYALUX14S1.5,LENTE HOYALUX14S1.5,1,335,LENS
229,229,EXISTING,LENTE HOYALUX WIDE BKS 1.50 INC,LENTE HOYALUX WIDE BKS 1.50 INC,51,51,LENS
230,1015,CREATED,LENTE HOYALUX14S1.5/AR,LENTE HOYALUX14S1.5/AR,1,335,LENS
231,1016,CREATED,LENTE PR DAYNAMIC1.5 AR CX,LENTE PR DAYNAMIC1.5 AR CX,51,51,LENS
232,232,EXISTING,LENTE HOYALUX WIDE BKS PRO 1.50 SENSITY AR CX,LENTE HOYALUX WIDE BKS PRO 1.50 SENSITY AR CX,51,51,LENS
233,1017,CREATED,LENTE PR DAYNAMIC1.5 SENSITY AR CX,LENTE PR DAYNAMIC1.5 SENSITY AR CX,51,51,LENS
234,234,EXISTING,LENTE HOYALUX WIDE BKS 1.53 TVX INC,LENTE HOYALUX WIDE BKS 1.53 TVX INC,51,51,LENS
235,235,EXISTING,LENTE HOYALUX WIDE BKS 1.53 SENSITY,LENTE HOYALUX WIDE BKS 1.53 SENSITY,51,51,LENS
236,236,EXISTING,LENTE HOYALUX WIDE BKS 1.53 SENSITY AR,LENTE HOYALUX WIDE BKS 1.53 SENSITY AR,51,51,LENS
237,237,EXISTING,LENTE P HOYALUX WIDE BKS 1.67 INC,LENTE P HOYALUX WIDE BKS 1.67 INC,51,51,LENS
238,1018,CREATED,LENTE PR1.67 HOYALUX WIDE BKS AR,LENTE PR1.67 HOYALUX WIDE BKS AR,51,51,LENS
239,239,EXISTING,LENTE P HOYALUX18W1.5 /I,LENTE P HOYALUX18W1.5 /I,51,51,LENS
240,240,EXISTING,LENTE P HOYALUX WIDE VXT 1.67 SENSITY,LENTE P HOYALUX WIDE VXT 1.67 SENSITY,51,51,LENS
