carId,carAtendimento,carParcelas,carValorParcela,carVencimento,carNumeroParcela,carParcelaStatus,carDataPagamento
142,10049,6,R$ 100.00,18-Jan-16,1,Pago com sucesso,18-Jan-16
143,10049,6,R$ 100.00,18-Feb-16,2,Pago com atraso,19-Apr-16
144,10049,6,R$ 100.00,18-Mar-16,3,Pago com atraso,19-Apr-16
145,10049,6,R$ 100.00,18-Apr-16,4,Pago com atraso,03-Apr-17
146,10049,6,R$ 100.00,18-May-16,5,Pago com atraso,04-Dec-17
147,10049,6,R$ 100.00,18-Jun-16,6,Pago com atraso,21-Feb-18
148,10050,1,R$ 200.00,17-Apr-16,1,Pago com atraso,24-Mar-17
149,10051,3,R$ 200.00,12-Aug-16,1,Pago com atraso,28-Jul-17
150,10051,3,R$ 200.00,12-Sep-16,2,Pago com atraso,31-Jul-18
151,10051,3,R$ 200.00,12-Oct-16,3,Pago com atraso,14-Nov-19
152,10052,2,R$ 170.00,15-Feb-17,1,Pago com atraso,27-Mar-17
153,10052,2,R$ 170.00,15-Mar-17,2,Pago com atraso,27-Mar-17
156,10057,1,R$ 160.00,31-Jan-17,1,Pago com atraso,02-Feb-17
157,10060,6,R$ 150.00,28-Feb-17,1,Pago com atraso,14-Jun-17
158,10060,6,R$ 150.00,28-Mar-17,2,Pago com atraso,14-Jun-17
159,10060,6,R$ 150.00,28-Apr-17,3,Pago com atraso,27-Jul-18
160,10060,6,R$ 150.00,28-May-17,4,Pago com atraso,27-Jul-18
161,10060,6,R$ 150.00,28-Jun-17,5,Pago com atraso,27-Jul-18
162,10060,6,R$ 150.00,28-Jul-17,6,Pago com atraso,27-Jul-18
163,10059,3,R$ 400.00,15-Feb-17,1,Aberta,
164,10059,3,R$ 400.00,15-Mar-17,2,Aberta,
165,10059,3,R$ 400.00,15-Apr-17,3,Aberta,
166,10061,3,R$ 300.00,15-Feb-17,1,Pago com sucesso,15-Feb-17
167,10061,3,R$ 300.00,15-Mar-17,2,Pago com atraso,16-Mar-17
168,10061,3,R$ 300.00,15-Apr-17,3,Pago com atraso,17-Apr-17
169,10062,4,R$ 120.00,25-Feb-17,1,Pago com atraso,10-Jul-17
170,10062,4,R$ 120.00,25-Mar-17,2,Pago com atraso,07-Feb-18
171,10062,4,R$ 120.00,25-Apr-17,3,Pago com atraso,07-Feb-18
172,10062,4,R$ 120.00,25-May-17,4,Vencida,
173,10063,2,R$ 160.00,01-Feb-17,1,Pago com sucesso,01-Feb-17
174,10063,2,R$ 160.00,01-Mar-17,2,Pago com atraso,11-Mar-17
175,10064,6,R$ 130.00,02-Feb-17,1,Pago com sucesso,02-Feb-17
176,10064,6,R$ 130.00,02-Mar-17,2,Pago com sucesso,02-Feb-17
177,10064,6,R$ 130.00,02-Apr-17,3,Pago com atraso,04-Apr-17
178,10064,6,R$ 130.00,02-May-17,4,Pago com atraso,08-Jun-17
179,10064,6,R$ 130.00,02-Jun-17,5,Pago com atraso,08-Jun-17
180,10064,6,R$ 130.00,02-Jul-17,6,Pago com atraso,05-Jul-17
186,10066,5,R$ 96.00,06-Feb-17,1,Pago com atraso,07-Feb-17
187,10066,5,R$ 96.00,06-Mar-17,2,Pago com atraso,07-Mar-17
188,10066,5,R$ 96.00,06-Apr-17,3,Pago com sucesso,05-Apr-17
189,10066,5,R$ 96.00,06-May-17,4,Pago com sucesso,04-May-17
190,10066,5,R$ 96.00,06-Jun-17,5,Pago com sucesso,06-Jun-17
191,10067,4,R$ 87.50,02-Mar-17,1,Aberta,
192,10067,4,R$ 87.50,02-Apr-17,2,Aberta,
193,10067,4,R$ 87.50,02-May-17,3,Aberta,
194,10067,4,R$ 87.50,02-Jun-17,4,Aberta,
195,10065,5,R$ 220.00,03-Mar-17,1,Aberta,
196,10065,5,R$ 220.00,03-Apr-17,2,Aberta,
197,10065,5,R$ 220.00,03-May-17,3,Aberta,
198,10065,5,R$ 220.00,03-Jun-17,4,Aberta,
199,10065,5,R$ 220.00,03-Jul-17,5,Aberta,
200,10073,5,R$ 220.00,03-Mar-17,1,Pago com atraso,04-Mar-17
201,10073,5,R$ 220.00,03-Apr-17,2,Pago com atraso,06-Apr-17
202,10073,5,R$ 220.00,03-May-17,3,Pago com atraso,06-May-17
203,10073,5,R$ 220.00,03-Jun-17,4,Pago com atraso,07-Jun-17
204,10073,5,R$ 220.00,03-Jul-17,5,Pago com atraso,11-Jul-17
205,10074,4,R$ 256.00,20-Nov-16,1,Pago com atraso,21-Nov-16
206,10074,4,R$ 256.00,20-Dec-16,2,Pago com sucesso,19-Dec-16
207,10074,4,R$ 256.00,20-Jan-17,3,Pago com sucesso,18-Jan-17
208,10074,4,R$ 256.00,20-Feb-17,4,Pago com sucesso,13-Feb-17
209,10075,2,R$ 250.00,11-Mar-17,1,Pago com atraso,07-Jul-17
210,10075,2,R$ 250.00,11-Apr-17,2,Vencida,
211,10076,4,R$ 140.00,15-Mar-17,1,Pago com sucesso,15-Mar-17
212,10076,4,R$ 140.00,15-Apr-17,2,Pago com atraso,25-May-17
213,10076,4,R$ 140.00,15-May-17,3,Pago com atraso,14-Sep-17
214,10076,4,R$ 140.00,15-Jun-17,4,Pago com atraso,21-Oct-17
215,10085,4,R$ 100.00,01-Mar-17,1,Pago com sucesso,01-Mar-17
216,10085,4,R$ 100.00,01-Apr-17,2,Pago com atraso,04-Apr-17
217,10085,4,R$ 100.00,01-May-17,3,Pago com atraso,02-May-17
218,10085,4,R$ 100.00,01-Jun-17,4,Pago com atraso,05-Jun-17
231,10090,6,R$ 150.00,05-Jan-17,1,Pago com atraso,06-Jan-17
232,10090,6,R$ 150.00,05-Feb-17,2,Pago com atraso,08-Feb-17
233,10090,6,R$ 150.00,05-Mar-17,3,Pago com atraso,08-Mar-17
234,10090,6,R$ 150.00,05-Apr-17,4,Pago com atraso,15-May-17
235,10090,6,R$ 150.00,05-May-17,5,Pago com atraso,15-May-17
236,10090,6,R$ 150.00,05-Jun-17,6,Pago com atraso,22-Jun-17
