recFinanceiro,recAtendimento,recParcelas,recDesconto,recJuros
687,10287,1,"100,00",0
688,10233,1,0,0
689,10233,1,0,0
690,10254,1,0,0
691,10076,1,0,0
692,10264,1,0,0
693,10180,1,0,0
694,10259,1,0,0
695,10250,1,0,0
696,10214,1,0,0
697,10263,1,0,0
698,10200,1,0,0
701,10182,1,0,0
702,10289,1,0,0
703,10122,1,0,0
704,10293,6,"150,00",0
705,10295,4,0,0
706,10296,6,"180,00",0
707,10297,1,"110,00",0
708,10298,1,0,0
709,10300,1,0,0
710,10301,4,"50,00",0
711,10302,1,0,0
713,10245,1,0,0
714,10254,1,0,0
715,10274,1,0,0
716,10190,1,0,0
717,10280,1,0,0
718,10303,1,"202,00",0
719,10304,5,"92,00",0
721,10307,1,0,0
722,10290,1,"350,00",0
723,10222,1,0,0
724,10230,1,0,0
725,10294,1,0,0
726,10284,1,0,0
727,10184,1,0,0
728,10132,1,0,0
729,10025,1,0,0
730,10025,1,0,0
731,10025,1,0,0
732,10144,1,0,0
733,10276,1,0,0
734,10270,1,0,0
742,10308,1,0,0
743,10309,1,0,0
744,10305,1,0,0
745,10189,1,0,0
746,10310,1,0,0
747,10208,1,0,0
748,10236,1,0,0
749,10231,1,0,0
750,10187,1,0,0
751,10288,1,0,0
752,10205,1,0,0
753,10223,1,0,0
755,10276,1,0,0
756,10291,1,0,0
757,10161,1,0,0
758,10201,1,0,0
764,10244,1,0,0
765,10306,1,0,0
766,10298,1,0,0
767,10265,1,0,0
768,10312,1,0,0
769,10314,2,"210,00",0
770,10315,1,0,0
771,10313,1,0,0
774,10285,1,0,0
775,10180,1,0,0
776,10248,1,0,0
781,10250,1,0,0
782,10280,1,0,0
783,10317,1,0,0
784,10245,1,0,0
785,10318,1,0,0
786,10243,1,0,0
787,10123,1,0,0
788,10123,1,0,0
789,10123,1,0,0
790,10320,2,0,0
791,10305,1,0,0
792,10254,1,0,0
793,10190,1,0,0
794,10274,1,0,0
795,10076,1,0,"5,00"
796,10284,1,0,0
797,10200,1,0,0
798,10264,1,0,0
799,10241,1,0,0
800,10240,1,0,0
801,10230,1,0,0
802,10323,1,0,0
803,10281,1,0,0
804,10187,1,0,0
805,10299,1,0,0
806,10299,1,0,0
818,10322,6,"340,00",0
819,10324,1,"390,00",0
820,10325,1,0,0
821,10329,6,0,0
823,10222,1,0,0
824,10259,1,0,0
825,10259,1,0,0
826,10270,1,0,0
827,10245,1,0,0
828,10292,1,0,0
829,10221,1,0,"10,00"
830,10294,1,0,0
831,10265,1,0,0
832,10236,1,0,0
833,10276,1,0,0
834,10288,1,0,0
835,10201,1,0,0
836,10244,1,0,0
837,10223,1,0,0
838,10285,1,0,0
839,10315,1,0,0
840,10311,1,0,0
841,10208,1,0,0
842,10328,1,0,0
843,10327,1,0,0
844,10248,1,0,0
845,10184,1,0,0
846,10184,1,0,0
847,10184,1,0,0
855,10261,1,0,0
856,10313,1,0,0
857,10259,1,0,0
858,10325,1,0,0
860,10331,1,0,0
861,10332,1,"338,00",0
862,10333,1,0,0
863,10335,1,"250,00",0
864,10337,1,0,0
865,10338,2,"50,00",0
866,10334,1,0,0
867,10330,1,"230,00",0
868,10336,1,"260,00",0
871,10280,1,0,0
872,10316,1,0,0
873,10312,1,0,0
874,10231,1,0,0
875,10306,1,0,0
876,10235,1,0,0
877,10235,1,0,0
878,10340,1,0,0
879,10343,1,0,0
884,10341,1,"100,00",0
885,10344,1,0,0
886,10347,1,0,0
887,10346,1,0,0
890,10342,1,"250,00",0
891,10230,1,0,0
892,10249,1,0,0
893,10222,1,0,0
894,10294,1,0,0
895,10270,1,0,0
896,10326,1,0,0
897,10274,1,0,0
898,10284,1,0,0
899,10317,1,0,0
900,10254,1,0,0
901,10240,1,0,0
902,10241,1,0,0
903,10348,2,"190,00",0
904,10349,1,"345,00",0
905,10350,6,"300,00",0
918,10201,1,0,0
919,10292,1,0,0
920,10319,1,0,0
921,10236,1,0,0
922,10276,1,0,0
923,10223,1,0,0
924,10315,1,0,0
925,10291,1,0,0
926,10328,1,0,0
927,10265,1,0,0
928,10244,1,0,0
929,10339,1,0,0
930,10288,1,0,0
931,10231,1,0,0
932,10285,1,0,0
933,10327,1,0,0
934,10312,1,0,0
935,10313,1,0,0
936,10340,1,0,0
937,10305,1,0,0
938,10358,1,0,0
946,10208,1,0,0
947,10264,1,0,0
948,10331,1,0,0
949,10317,1,0,0
950,10306,1,0,0
951,10252,1,0,0
952,10280,1,0,0
953,10351,1,0,0
954,10274,1,0,0
955,10254,1,0,0
956,10200,1,0,0
957,10334,1,0,0
958,10261,1,0,0
959,10347,1,0,0
960,10364,3,"200,00",0
962,10337,1,0,0
963,10337,1,0,0
964,10294,1,0,0
965,10270,1,0,0
966,10101,1,0,0
967,10328,1,0,0
968,10265,1,0,0
969,10352,6,"130,00",0
970,10354,1,"100,00",0
971,10356,6,"110,00",0
972,10357,1,"130,00",0
973,10359,1,"230,00",0
974,10316,1,0,0
975,10361,3,"40,00",0
976,10362,1,0,0
977,10362,1,0,0
978,10158,1,0,0
979,10363,5,"160,00",0
983,10259,1,0,0
984,10345,1,0,0
985,10339,1,0,0
986,10288,1,0,0
987,10284,1,0,0
988,10125,1,0,"3,00"
989,10292,1,0,0
990,10373,1,0,0
991,10367,1,"508,00",0
992,10049,1,0,0
993,10027,1,0,0
998,10360,1,0,0
999,10326,1,0,0
1000,10371,1,0,0
1001,10240,1,0,0
1002,10241,1,0,0
1003,10285,1,0,0
1004,10346,1,0,0
1005,10346,1,0,0
1006,10327,1,0,0
1007,10368,1,0,0
1008,10344,1,0,0
1013,10351,1,0,0
1014,10312,1,0,0
1015,10306,1,0,0
1016,10280,1,0,0
1017,10331,1,0,0
1018,10374,1,0,0
1019,10375,1,0,0
1020,10378,1,"350,00",0
1021,10379,2,0,0
1022,10380,5,"480,00",0
1023,10381,1,0,0
1024,10383,1,0,0
1025,10384,1,0,0
1026,10385,1,0,0
1027,10386,6,"132,00",0
1028,10388,1,0,0
1029,10390,1,0,0
1030,10376,1,0,0
1033,10025,1,0,0
1034,10245,1,0,0
1035,10362,1,0,0
1036,10319,1,0,0
1037,10315,1,0,0
1038,10132,1,0,0
1039,10370,1,0,0
1040,10125,1,0,"3,00"
1042,10317,1,0,0
1043,10334,1,0,0
1044,10313,1,0,0
1045,10316,1,0,0
1046,10221,1,0,0
1048,10274,1,0,0
1049,10340,1,0,0
1050,10254,1,0,0
1051,10391,5,"372,00",0
1052,10394,4,"50,00",0
1053,10245,1,0,0
1055,10395,1,0,0
1059,10264,1,0,0
1060,10252,1,0,0
1061,10294,1,0,0
1062,10392,1,0,0
1063,10369,1,0,0
1064,10377,1,0,0
1065,10242,1,0,0
1066,10242,1,0,0
1067,10281,1,0,0
1068,10396,5,"320,00",0
1069,10397,1,0,0
1071,10385,1,0,0
1072,10376,1,0,0
1073,10374,1,0,0
1076,10265,1,0,0
1077,10306,1,0,0
1078,10062,1,0,0
1079,10062,1,0,0
1080,10328,1,0,0
1081,10161,1,0,"3,00"
1082,10200,1,0,0
1083,10333,1,0,0
1084,10398,1,"360,00",0
1085,10399,1,"250,01",0
1086,10400,1,"890,01",0
1087,10261,1,0,0
1088,10315,1,0,0
1089,10403,6,"72,00",0
1090,10405,1,"390,00",0
1092,10371,1,0,0
1093,10345,1,0,0
1094,10284,1,0,0
1095,10368,1,0,0
1096,10372,1,0,0
1097,10407,4,0,0
1098,10383,1,0,0
1099,10382,1,0,0
1100,10313,1,0,0
1101,10381,1,0,0
1102,10334,1,0,0
1103,10327,1,0,0
1104,10331,1,0,0
1105,10351,1,0,0
1106,10264,1,0,0
1113,10340,1,0,0
1114,10408,1,0,0
1115,10404,1,0,0
1116,10409,1,0,0
1121,10049,1,0,0
1122,10387,1,0,0
1123,10317,1,0,0
1124,10316,1,0,0
1125,10274,1,0,0
1127,10411,1,0,0
1128,10416,6,"110,00",0
1129,10339,1,0,0
1130,10288,1,0,0
1131,10376,1,0,0
1132,10374,1,0,0
1133,10401,1,0,0
1134,10401,1,0,0
1135,10249,1,0,0
1136,10360,1,0,0
1137,10237,1,0,0
1142,10392,1,0,0
1143,10417,6,"530,00",0
1144,10418,1,"899,99",0
1145,10420,1,0,0
1146,10421,1,"190,00",0
1147,10311,1,0,0
1148,10311,1,0,0
1149,10311,1,0,0
1150,10311,1,0,"5,00"
1152,10328,1,0,0
1153,10385,1,0,0
1163,10343,1,0,0
1164,10343,1,0,0
1165,10252,1,0,0
1166,10393,1,0,0
1167,10406,1,0,0
1168,10158,1,0,0
1169,10292,1,0,0
1170,10377,1,0,0
1171,10265,1,0,0
1172,10414,1,0,0
1173,10410,1,0,0
1174,10370,1,0,0
1175,10261,1,0,0
1176,10383,1,0,0
1177,10383,1,0,0
1178,10383,1,0,0
1179,10395,1,0,0
1180,10026,1,0,0
1181,10026,1,0,0
1182,10312,1,0,0
1183,10353,1,0,0
1185,10200,1,0,0
1186,10419,6,"150,00",0
1187,10413,1,"60,00",0
1188,10424,6,"360,00",0
1189,10425,4,"110,00",0
1190,10426,1,0,0
1191,10427,6,"270,00",0
1192,10428,6,"214,00",0
1200,10382,1,0,0
1201,10381,1,0,0
1202,10372,1,0,0
1203,10369,1,0,0
1204,10360,1,0,0
1205,10340,1,0,0
1206,10284,1,0,0
1207,10351,1,0,0
1208,10371,1,0,0
1209,10344,1,0,0
1210,10415,1,0,0
1211,10431,1,0,0
1212,10430,1,0,0
1213,10368,1,0,0
1214,10422,1,0,0
1215,10317,1,0,0
1216,10358,1,0,0
1217,10331,1,0,0
1218,10331,1,0,0
1219,10288,1,0,0
1220,10339,1,0,0
1221,10401,1,0,0
1222,10401,1,0,0
1230,10433,5,"210,00",0
1231,10435,6,"490,00",0
1232,10437,6,"619,80",0
1233,10438,6,"610,00",0
1234,10100,1,0,0
1235,10100,1,0,0
1236,10395,1,0,0
1237,10333,1,0,0
1238,10333,1,0,0
1239,10333,1,0,0
1240,10333,1,0,0
1241,10404,1,0,0
1242,10404,1,0,0
1243,10389,1,0,0
1244,10402,1,0,0
1245,10432,1,0,0
1246,10411,1,0,0
1247,10411,1,0,0
1248,10292,1,0,0
1249,10360,1,0,0
1250,10393,1,0,0
1251,10385,1,0,0
1252,10432,1,0,0
1253,10432,1,0,0
1254,10036,1,0,0
1255,10036,1,0,0
1256,10036,1,0,0
1257,10442,1,0,0
1258,10389,1,0,0
1268,10410,1,0,0
1269,10414,1,0,0
1270,10415,1,0,0
1271,10261,1,0,0
1272,10406,1,0,0
1273,10371,1,0,0
1274,10351,1,0,0
1275,10340,1,0,0
1276,10441,1,0,0
1277,10443,1,0,0
1278,10444,1,0,0
1282,10123,1,0,0
1283,10123,1,0,0
1284,10420,1,0,0
1285,10447,3,"40,00",0
1286,10448,2,"160,00",0
1289,10451,1,"210,00",0
1291,10402,1,0,0
1292,10264,1,0,0
1293,10382,1,0,0
1294,10431,1,0,0
1295,10122,1,0,0
1296,10369,1,0,0
1297,10381,1,0,0
1298,10422,1,0,0
1299,10446,1,0,0
1302,10457,6,"560,00",0
1303,10458,6,"115,00",0
1304,10460,3,"300,00",0
1305,10461,1,0,0
1306,10462,1,0,0
1307,10464,1,0,0
1308,10465,1,"0,10",0
1309,10467,1,0,0
1310,10137,1,0,0
1311,10372,1,0,0
1312,10249,1,0,0
1313,10353,1,0,0
1314,10345,1,0,0
1315,10401,1,0,0
1316,10368,1,0,0
1317,10377,1,0,0
1318,10449,1,0,0
1319,10288,1,0,0
1320,10339,1,0,0
1321,10443,1,0,0
1322,10393,1,0,0
1323,10393,1,0,0
1324,10311,1,0,"5,00"
1330,10385,1,0,0
1331,10430,1,0,0
1336,10410,1,0,0
1337,10340,1,0,0
1338,10414,1,0,0
1339,10444,1,0,0
1340,10406,1,0,0
1341,10464,1,0,0
1342,10453,1,0,0
1343,10371,1,0,0
1344,10440,6,"472,00",0
1345,10469,1,0,0
1346,10471,4,0,0
1347,10472,1,"190,00",0
1348,10473,6,"80,00",0
1349,10475,1,0,0
1350,10476,1,0,0
1351,10313,1,0,0
1352,10477,6,"616,00",0
1353,10479,1,"420,00",0
1354,10480,3,"70,00",0
1355,10481,1,0,0
1356,10484,6,"120,00",0
1357,10485,7,"50,00",0
1358,10470,6,"40,00",0
1359,10368,1,0,0
1360,10466,1,0,0
1361,10369,1,0,0
1362,10463,1,0,0
1363,10474,1,0,0
1364,10384,1,0,0
1365,10422,1,0,0
1366,10408,1,0,0
1367,10442,1,0,0
1368,10456,1,0,0
1369,10431,1,0,0
1370,10402,1,0,0
1371,10459,1,0,0
1372,10454,1,0,0
1373,10261,1,0,0
1374,10461,1,0,0
