desFinanceiro,desStatus,desDataPagamento
2131,PAGA,23-Feb-19
2132,PAGA,25-Feb-19
2133,PAGA,25-Feb-19
2134,PAGA,25-Feb-19
2135,PAGA,25-Feb-19
2136,PAGA,25-Feb-19
2137,PAGA,04-Mar-19
2138,PAGA,04-Mar-19
2139,PAGA,04-Mar-19
2140,PAGA,05-Mar-19
2141,PAGA,11-Mar-19
2142,PAGA,11-Mar-19
2143,PAGA,11-Mar-19
2145,PAGA,12-Mar-19
2146,PAGA,12-Mar-19
2147,PAGA,13-Mar-19
2148,PAGA,13-Mar-19
2149,PAGA,18-Mar-19
2150,PAGA,18-Mar-19
2151,PAGA,18-Mar-19
2152,PAGA,20-Mar-19
2153,PAGA,20-Mar-19
2207,PAGA,22-Mar-19
2208,PAGA,21-Mar-19
2211,PAGA,27-Mar-19
2212,PAGA,27-Mar-19
2213,PAGA,27-Mar-19
2214,PAGA,25-Mar-19
2215,PAGA,28-Mar-19
2229,PAGA,30-Mar-19
2234,PAGA,03-Apr-19
2235,PAGA,03-Apr-19
2239,PAGA,04-Apr-19
2241,PAGA,10-Apr-19
2242,PAGA,10-Apr-19
2243,PAGA,10-Apr-19
2244,PAGA,10-Apr-19
2254,PAGA,15-Apr-19
2255,PAGA,15-Apr-19
2256,PAGA,29-Mar-19
2272,PAGA,16-Apr-19
2275,PAGA,22-Apr-19
2276,PAGA,22-Apr-19
2277,PAGA,22-Apr-19
2278,PAGA,22-Apr-19
2279,PAGA,22-Apr-19
2284,PAGA,25-Apr-19
2285,PAGA,25-Apr-19
2287,PAGA,29-Apr-19
2288,PAGA,30-Apr-19
2294,PAGA,30-Apr-19
2302,PAGA,06-May-19
2303,PAGA,06-May-19
2304,PAGA,06-May-19
2313,PAGA,09-May-19
2314,PAGA,10-May-19
2315,PAGA,10-May-19
2316,PAGA,10-May-19
2323,PAGA,16-May-19
2346,PAGA,17-May-19
2347,PAGA,17-May-19
2348,PAGA,20-May-19
2349,PAGA,20-May-19
2350,PAGA,20-May-19
2351,PAGA,21-May-19
2354,PAGA,23-May-19
2360,PAGA,27-May-19
2362,PAGA,30-May-19
2385,PAGA,03-Jun-19
2386,PAGA,03-Jun-19
2387,PAGA,04-Jun-19
2395,PAGA,07-Jun-19
2396,PAGA,10-Jun-19
2397,PAGA,10-Jun-19
2398,PAGA,10-Jun-19
2399,PAGA,10-Jun-19
2400,PAGA,10-Jun-19
2401,PAGA,10-Jun-19
2404,PAGA,12-Jun-19
2417,PAGA,11-Jun-19
2423,PAGA,17-Jun-19
2424,PAGA,17-Jun-19
2425,PAGA,17-Jun-19
2426,PAGA,21-Jun-19
2427,PAGA,21-Jun-19
2428,PAGA,24-Jun-19
2429,PAGA,24-Jun-19
2430,PAGA,24-Jun-19
2431,PAGA,25-Jun-19
2461,PAGA,01-Jul-19
2462,PAGA,28-Jun-19
2463,PAGA,02-Jul-19
2470,PAGA,03-Jul-19
2471,PAGA,03-Jul-19
2472,PAGA,04-Jul-19
2473,PAGA,05-Jul-19
2475,PAGA,08-Jul-19
2476,PAGA,08-Jul-19
2477,PAGA,09-Jul-19
2478,PAGA,09-Jul-19
2479,PAGA,10-Jul-19
2480,PAGA,10-Jul-19
2481,PAGA,12-Jul-19
2483,PAGA,15-Jul-19
2484,PAGA,16-Jul-19
2485,PAGA,16-Jul-19
2521,PAGA,22-Jul-19
2522,PAGA,22-Jul-19
2523,PAGA,22-Jul-19
2524,PAGA,22-Jul-19
2525,PAGA,22-Jul-19
2526,PAGA,24-Jul-19
2527,PAGA,25-Jul-19
2528,PAGA,25-Jul-19
2557,PAGA,31-Jul-19
2558,PAGA,02-Aug-19
2559,PAGA,05-Aug-19
2560,PAGA,05-Aug-19
2561,PAGA,09-Aug-19
2562,PAGA,08-Aug-19
2563,PAGA,12-Aug-19
2564,PAGA,12-Aug-19
2565,PAGA,12-Aug-19
2566,PAGA,12-Aug-19
2567,PAGA,14-Aug-19
2568,PAGA,16-Aug-19
2575,PAGA,19-Aug-19
2576,PAGA,31-Jul-19
2580,PAGA,20-Aug-19
2581,PAGA,20-Aug-19
2582,PAGA,20-Aug-19
2583,PAGA,20-Aug-19
2584,PAGA,21-Aug-19
2586,PAGA,26-Aug-19
2587,PAGA,26-Aug-19
2589,PAGA,26-Aug-19
2606,PAGA,30-Aug-19
2626,PAGA,02-Sep-19
2627,PAGA,04-Sep-19
2628,PAGA,09-Sep-19
2629,PAGA,09-Sep-19
2630,PAGA,10-Sep-19
2631,PAGA,10-Sep-19
2632,PAGA,10-Sep-19
2633,PAGA,10-Sep-19
2634,PAGA,11-Sep-19
2635,PAGA,11-Sep-19
2642,PAGA,13-Sep-19
2655,PAGA,18-Sep-19
2666,PAGA,31-Aug-19
2668,PAGA,20-Sep-19
2669,PAGA,20-Sep-19
2670,PAGA,20-Sep-19
2675,PAGA,23-Sep-19
2676,PAGA,24-Sep-19
2677,PAGA,25-Sep-19
2703,PAGA,28-Sep-19
2704,PAGA,30-Sep-19
2705,PAGA,30-Sep-19
2706,PAGA,01-Oct-19
2710,PAGA,30-Sep-19
2714,PAGA,04-Oct-19
2716,PAGA,08-Oct-19
2717,PAGA,08-Oct-19
2718,PAGA,09-Oct-19
2719,PAGA,10-Oct-19
2720,PAGA,10-Oct-19
2721,PAGA,10-Oct-19
2732,PAGA,14-Oct-19
2733,PAGA,16-Oct-19
2734,PAGA,21-Oct-19
2735,PAGA,21-Oct-19
2736,PAGA,21-Oct-19
2737,PAGA,21-Oct-19
2738,PAGA,21-Oct-19
2741,PAGA,24-Oct-19
2749,PAGA,25-Oct-19
2750,PAGA,28-Oct-19
2751,PAGA,29-Oct-19
2757,PAGA,04-Nov-19
2758,PAGA,04-Nov-19
2782,PAGA,07-Nov-19
2783,PAGA,08-Nov-19
2784,PAGA,11-Nov-19
2785,PAGA,11-Nov-19
2791,PAGA,18-Nov-19
2792,PAGA,18-Nov-19
2793,PAGA,18-Nov-19
2819,PAGA,20-Nov-19
2820,PAGA,20-Nov-19
2821,PAGA,21-Nov-19
2822,PAGA,25-Nov-19
2823,PAGA,25-Nov-19
2824,PAGA,26-Nov-19
2844,PAGA,28-Nov-19
2845,PAGA,29-Nov-19
2851,PAGA,04-Dec-19
2869,PAGA,09-Dec-19
2870,PAGA,10-Dec-19
2871,PAGA,10-Dec-19
2872,PAGA,10-Dec-19
2873,PAGA,11-Dec-19
2874,PAGA,16-Dec-19
2875,PAGA,16-Dec-19
2876,PAGA,16-Dec-19
2877,PAGA,20-Dec-19
2878,PAGA,20-Dec-19
2879,PAGA,23-Dec-19
2880,PAGA,30-Nov-19
2884,PAGA,26-Dec-19
2885,PAGA,30-Dec-19
2886,PAGA,02-Jan-20
2892,PAGA,06-Jan-20
2893,PAGA,06-Jan-20
2925,PAGA,10-Jan-20
2926,PAGA,10-Jan-20
2927,PAGA,13-Jan-20
2928,PAGA,14-Jan-20
2929,PAGA,16-Jan-20
2941,PAGA,20-Jan-20
