[2026-09-22T20:19:52.969Z] Iniciando migration 04-sale | DRY_RUN=true
[2026-09-22T20:20:02.834Z] INCONSISTÊNCIA FINANCEIRA venda=10167 calculado=1740.00 ateTotal=1500.00
[2026-09-22T20:20:02.902Z] INCONSISTÊNCIA FINANCEIRA venda=10168 calculado=900.00 ateTotal=675.00
[2026-09-22T20:20:03.051Z] INCONSISTÊNCIA FINANCEIRA venda=10170 calculado=1200.00 ateTotal=900.00
[2026-09-22T20:20:03.122Z] INCONSISTÊNCIA FINANCEIRA venda=10171 calculado=840.00 ateTotal=410.00
[2026-09-22T20:20:03.190Z] INCONSISTÊNCIA FINANCEIRA venda=10172 calculado=750.00 ateTotal=600.00
[2026-09-22T20:20:03.472Z] INCONSISTÊNCIA FINANCEIRA venda=10178 calculado=1160.00 ateTotal=890.00
[2026-09-22T20:20:03.549Z] INCONSISTÊNCIA FINANCEIRA venda=10179 calculado=400.00 ateTotal=300.00
[2026-09-22T20:20:03.619Z] INCONSISTÊNCIA FINANCEIRA venda=10180 calculado=1891.00 ateTotal=1800.00
[2026-09-22T20:20:03.759Z] INCONSISTÊNCIA FINANCEIRA venda=10182 calculado=620.00 ateTotal=600.00
[2026-09-22T20:20:03.866Z] INCONSISTÊNCIA FINANCEIRA venda=10183 calculado=1152.00 ateTotal=1000.00
[2026-09-22T20:20:03.934Z] INCONSISTÊNCIA FINANCEIRA venda=10184 calculado=780.00 ateTotal=690.00
[2026-09-22T20:20:04.001Z] INCONSISTÊNCIA FINANCEIRA venda=10185 calculado=240.00 ateTotal=200.00
[2026-09-22T20:20:04.143Z] INCONSISTÊNCIA FINANCEIRA venda=10187 calculado=1170.00 ateTotal=960.00
[2026-09-22T20:20:04.215Z] INCONSISTÊNCIA FINANCEIRA venda=10189 calculado=980.00 ateTotal=800.00
[2026-09-22T20:20:04.286Z] INCONSISTÊNCIA FINANCEIRA venda=10190 calculado=1260.00 ateTotal=1140.00
[2026-09-22T20:20:04.358Z] INCONSISTÊNCIA FINANCEIRA venda=10191 calculado=770.00 ateTotal=450.00
[2026-09-22T20:20:04.426Z] INCONSISTÊNCIA FINANCEIRA venda=10192 calculado=1510.00 ateTotal=1050.00
[2026-09-22T20:20:04.525Z] INCONSISTÊNCIA FINANCEIRA venda=10193 calculado=450.00 ateTotal=380.00
[2026-09-22T20:20:04.597Z] INCONSISTÊNCIA FINANCEIRA venda=10194 calculado=1730.00 ateTotal=1300.00
[2026-09-22T20:20:04.666Z] INCONSISTÊNCIA FINANCEIRA venda=10195 calculado=750.00 ateTotal=380.00
[2026-09-22T20:20:04.741Z] INCONSISTÊNCIA FINANCEIRA venda=10196 calculado=1820.00 ateTotal=1200.00
[2026-09-22T20:20:05.026Z] INCONSISTÊNCIA FINANCEIRA venda=10200 calculado=1140.00 ateTotal=900.00
[2026-09-22T20:20:05.107Z] INCONSISTÊNCIA FINANCEIRA venda=10201 calculado=1150.00 ateTotal=1120.00
[2026-09-22T20:20:05.188Z] INCONSISTÊNCIA FINANCEIRA venda=10202 calculado=770.00 ateTotal=590.00
[2026-09-22T20:20:05.263Z] INCONSISTÊNCIA FINANCEIRA venda=10203 calculado=1680.00 ateTotal=1320.00
[2026-09-22T20:20:05.403Z] INCONSISTÊNCIA FINANCEIRA venda=10205 calculado=810.00 ateTotal=640.00
[2026-09-22T20:20:05.615Z] INCONSISTÊNCIA FINANCEIRA venda=10208 calculado=730.00 ateTotal=600.00
[2026-09-22T20:20:05.684Z] INCONSISTÊNCIA FINANCEIRA venda=10209 calculado=840.00 ateTotal=600.00
[2026-09-22T20:20:05.902Z] INCONSISTÊNCIA FINANCEIRA venda=10212 calculado=990.00 ateTotal=850.00
[2026-09-22T20:20:05.972Z] INCONSISTÊNCIA FINANCEIRA venda=10213 calculado=700.00 ateTotal=480.00
[2026-09-22T20:20:06.254Z] INCONSISTÊNCIA FINANCEIRA venda=10217 calculado=1524.00 ateTotal=1000.00
[2026-09-22T20:20:06.470Z] INCONSISTÊNCIA FINANCEIRA venda=10220 calculado=1524.00 ateTotal=1200.00
[2026-09-22T20:20:06.544Z] INCONSISTÊNCIA FINANCEIRA venda=10221 calculado=820.00 ateTotal=780.00
[2026-09-22T20:20:06.615Z] INCONSISTÊNCIA FINANCEIRA venda=10222 calculado=1180.00 ateTotal=930.00
[2026-09-22T20:20:06.681Z] INCONSISTÊNCIA FINANCEIRA venda=10223 calculado=1140.00 ateTotal=930.00
[2026-09-22T20:20:06.749Z] INCONSISTÊNCIA FINANCEIRA venda=10225 calculado=810.00 ateTotal=700.00
[2026-09-22T20:20:06.818Z] INCONSISTÊNCIA FINANCEIRA venda=10226 calculado=810.00 ateTotal=500.00
[2026-09-22T20:20:06.887Z] INCONSISTÊNCIA FINANCEIRA venda=10227 calculado=772.00 ateTotal=580.00
[2026-09-22T20:20:06.954Z] INCONSISTÊNCIA FINANCEIRA venda=10228 calculado=710.00 ateTotal=400.00
[2026-09-22T20:20:07.024Z] INCONSISTÊNCIA FINANCEIRA venda=10229 calculado=790.00 ateTotal=450.00
[2026-09-22T20:20:07.099Z] INCONSISTÊNCIA FINANCEIRA venda=10230 calculado=1170.00 ateTotal=870.00
[2026-09-22T20:20:07.167Z] INCONSISTÊNCIA FINANCEIRA venda=10231 calculado=990.00 ateTotal=900.00
[2026-09-22T20:20:07.234Z] INCONSISTÊNCIA FINANCEIRA venda=10232 calculado=870.00 ateTotal=700.00
[2026-09-22T20:20:07.306Z] INCONSISTÊNCIA FINANCEIRA venda=10233 calculado=1460.00 ateTotal=1100.00
[2026-09-22T20:20:07.374Z] INCONSISTÊNCIA FINANCEIRA venda=10234 calculado=1800.00 ateTotal=1650.00
[2026-09-22T20:20:07.472Z] INCONSISTÊNCIA FINANCEIRA venda=10235 calculado=870.00 ateTotal=580.00
