prodId,prodNome,prodMarca,prodPrecoCompra,prodPrecoVenda,prodPercentual,prodQtd,prodTipo
75,LENTE P 1.50 ESPACE TRANS VII/AR,60,"550,00","1100,00",100,6,PRODUTO
76,LENTE PR1.50 ARGOS TF INC.,51,"387,00","774,00",100,3,PRODUTO
77,ARMAÇÃO PLATINI,4,"225,00","450,00",100,9,PRODUTO
78,SOLAR Z FORA DE LINHA,4,"260,00","520,00",100,0,PRODUTO
79,ARMAÇÃO NYLON,4,"170,00","340,00",100,4,PRODUTO
80,ARMAÇÃO Z FORA DE LINHA,4,"156,00","312,00",100,1,PRODUTO
81,ARMAÇÃO NYLON,27,"140,00","280,00",100,6,PRODUTO
83,ARMAÇÃO NYLON,32,"145,00","290,00",100,1,PRODUTO
84,ARMAÇÃO NYLON,13,"190,00","380,00",100,3,PRODUTO
85,ARMAÇÃO Z FORA DE LINHA,41,"225,00","450,00",100,0,PRODUTO
86,ARMAÇÃO RAY BAN,41,"236,00","472,00",100,1,PRODUTO
87,ARMAÇÃO Z FORA DE LINHA,41,"275,00","550,00",100,2,PRODUTO
88,ARMAÇÃO TECNOL,14,"165,00","330,00",100,14,PRODUTO
89,ARMAÇÃO ACETATO,14,"176,00","352,00",100,0,PRODUTO
90,ARMAÇÃO INFANTIL DIVERSAS,31,"135,00","270,00",100,45,PRODUTO
91,ARMAÇÃO NYLON,31,"135,00","270,00",100,0,PRODUTO
92,ARMAÇÃO ACETATO,43,"155,00","310,00",100,0,PRODUTO
93,ARMAÇÃO NYLON,43,"135,00","270,00",100,1,PRODUTO
94,ARMAÇÃO NYLON,16,"170,00","340,00",100,0,PRODUTO
95,ARMAÇÃO VOGUE,39,"170,00","340,00",100,2,PRODUTO
96,ARMAÇÃO NYLON,30,"165,00","330,00",100,3,PRODUTO
97,ARMAÇÃO NYLON FL,9,"160,00","320,00",100,1,PRODUTO
98,ARMAÇÃO PIERRE CARDIN,9,"175,00","350,00",100,0,PRODUTO
100,ARMAÇÃO ACETATO,6,"160,00","320,00",100,1,PRODUTO
101,ARMAÇÃO Z FORA DE LINHA,8,"195,00","390,00",100,8,PRODUTO
102,ARMAÇÃO MAXLINE,8,"190,00","380,00",100,-1,PRODUTO
