[2026-09-22T19:39:49.166Z] Iniciando migration 04-sale | DRY_RUN=true
[2026-09-22T19:40:07.154Z] INCONSISTÊNCIA FINANCEIRA venda=10285 calculado=1370.00 ateTotal=1300.00
[2026-09-22T19:40:07.222Z] INCONSISTÊNCIA FINANCEIRA venda=10286 calculado=754.21 ateTotal=2640.00
[2026-09-22T19:40:07.294Z] INCONSISTÊNCIA FINANCEIRA venda=10287 calculado=200.00 ateTotal=100.00
[2026-09-22T19:40:07.365Z] INCONSISTÊNCIA FINANCEIRA venda=10288 calculado=990.00 ateTotal=945.00
[2026-09-22T19:40:07.507Z] INCONSISTÊNCIA FINANCEIRA venda=10290 calculado=1.20 ateTotal=850.00
[2026-09-22T19:40:07.578Z] INCONSISTÊNCIA FINANCEIRA venda=10291 calculado=660.00 ateTotal=550.00
[2026-09-22T19:40:07.646Z] INCONSISTÊNCIA FINANCEIRA venda=10292 calculado=870.00 ateTotal=840.00
[2026-09-22T19:40:07.713Z] INCONSISTÊNCIA FINANCEIRA venda=10293 calculado=810.00 ateTotal=660.00
[2026-09-22T19:40:07.784Z] INCONSISTÊNCIA FINANCEIRA venda=10294 calculado=690.00 ateTotal=675.00
[2026-09-22T19:40:07.926Z] INCONSISTÊNCIA FINANCEIRA venda=10296 calculado=960.00 ateTotal=780.00
[2026-09-22T19:40:07.997Z] INCONSISTÊNCIA FINANCEIRA venda=10297 calculado=910.00 ateTotal=800.00
[2026-09-22T19:40:08.069Z] INCONSISTÊNCIA FINANCEIRA venda=10298 calculado=500.00 ateTotal=360.00
[2026-09-22T19:40:08.140Z] INCONSISTÊNCIA FINANCEIRA venda=10299 calculado=400.00 ateTotal=390.00
[2026-09-22T19:40:08.278Z] INCONSISTÊNCIA FINANCEIRA venda=10301 calculado=550.00 ateTotal=500.00
[2026-09-22T19:40:08.413Z] INCONSISTÊNCIA FINANCEIRA venda=10303 calculado=652.00 ateTotal=450.00
[2026-09-22T19:40:08.482Z] INCONSISTÊNCIA FINANCEIRA venda=10304 calculado=972.00 ateTotal=880.00
[2026-09-22T19:40:08.555Z] INCONSISTÊNCIA FINANCEIRA venda=10305 calculado=720.00 ateTotal=580.00
[2026-09-22T19:40:08.903Z] INCONSISTÊNCIA FINANCEIRA venda=10311 calculado=1470.00 ateTotal=990.00
[2026-09-22T19:40:08.972Z] INCONSISTÊNCIA FINANCEIRA venda=10312 calculado=970.00 ateTotal=750.00
[2026-09-22T19:40:09.040Z] INCONSISTÊNCIA FINANCEIRA venda=10313 calculado=960.00 ateTotal=900.00
[2026-09-22T19:40:09.110Z] INCONSISTÊNCIA FINANCEIRA venda=10314 calculado=810.00 ateTotal=600.00
[2026-09-22T19:40:09.309Z] INCONSISTÊNCIA FINANCEIRA venda=10317 calculado=890.00 ateTotal=810.00
[2026-09-22T19:40:09.378Z] INCONSISTÊNCIA FINANCEIRA venda=10318 calculado=910.00 ateTotal=750.00
[2026-09-22T19:40:09.446Z] INCONSISTÊNCIA FINANCEIRA venda=10319 calculado=960.00 ateTotal=810.00
[2026-09-22T19:40:09.582Z] INCONSISTÊNCIA FINANCEIRA venda=10321 calculado=952.00 ateTotal=850.00
[2026-09-22T19:40:09.649Z] INCONSISTÊNCIA FINANCEIRA venda=10322 calculado=1040.00 ateTotal=700.00
[2026-09-22T19:40:09.727Z] INCONSISTÊNCIA FINANCEIRA venda=10323 calculado=510.00 ateTotal=350.00
[2026-09-22T19:40:09.797Z] INCONSISTÊNCIA FINANCEIRA venda=10324 calculado=890.00 ateTotal=500.00
[2026-09-22T19:40:10.074Z] INCONSISTÊNCIA FINANCEIRA venda=10328 calculado=930.00 ateTotal=900.00
[2026-09-22T19:40:10.171Z] INCONSISTÊNCIA FINANCEIRA venda=10329 calculado=1.10 ateTotal=1100.00
[2026-09-22T19:40:10.240Z] INCONSISTÊNCIA FINANCEIRA venda=10330 calculado=910.00 ateTotal=680.00
[2026-09-22T19:40:10.312Z] INCONSISTÊNCIA FINANCEIRA venda=10331 calculado=710.00 ateTotal=660.00
[2026-09-22T19:40:10.380Z] INCONSISTÊNCIA FINANCEIRA venda=10332 calculado=1260.00 ateTotal=922.00
[2026-09-22T19:40:10.451Z] INCONSISTÊNCIA FINANCEIRA venda=10333 calculado=964.00 ateTotal=900.00
[2026-09-22T19:40:10.518Z] INCONSISTÊNCIA FINANCEIRA venda=10334 calculado=670.00 ateTotal=620.00
[2026-09-22T19:40:10.589Z] INCONSISTÊNCIA FINANCEIRA venda=10335 calculado=480.00 ateTotal=230.00
[2026-09-22T19:40:10.661Z] INCONSISTÊNCIA FINANCEIRA venda=10336 calculado=710.00 ateTotal=450.00
[2026-09-22T19:40:10.729Z] INCONSISTÊNCIA FINANCEIRA venda=10337 calculado=910.00 ateTotal=700.00
[2026-09-22T19:40:10.799Z] INCONSISTÊNCIA FINANCEIRA venda=10338 calculado=390.00 ateTotal=340.00
[2026-09-22T19:40:10.886Z] INCONSISTÊNCIA FINANCEIRA venda=10339 calculado=372.00 ateTotal=325.00
[2026-09-22T19:40:10.960Z] INCONSISTÊNCIA FINANCEIRA venda=10340 calculado=1340.00 ateTotal=1300.00
[2026-09-22T19:40:11.029Z] INCONSISTÊNCIA FINANCEIRA venda=10341 calculado=400.00 ateTotal=300.00
[2026-09-22T19:40:11.103Z] INCONSISTÊNCIA FINANCEIRA venda=10342 calculado=480.00 ateTotal=230.00
[2026-09-22T19:40:11.178Z] INCONSISTÊNCIA FINANCEIRA venda=10343 calculado=360.00 ateTotal=200.00
[2026-09-22T19:40:11.246Z] INCONSISTÊNCIA FINANCEIRA venda=10344 calculado=770.00 ateTotal=680.00
