[2026-09-18T18:22:33.242Z] Iniciando migration 04-sale | DRY_RUN=true
[2026-09-18T18:22:44.640Z] INCONSISTÊNCIA FINANCEIRA venda=10187 calculado=1170.00 ateTotal=960.00
[2026-09-18T18:22:44.709Z] INCONSISTÊNCIA FINANCEIRA venda=10189 calculado=980.00 ateTotal=800.00
[2026-09-18T18:22:44.779Z] INCONSISTÊNCIA FINANCEIRA venda=10190 calculado=1260.00 ateTotal=1140.00
[2026-09-18T18:22:44.847Z] INCONSISTÊNCIA FINANCEIRA venda=10191 calculado=770.00 ateTotal=450.00
[2026-09-18T18:22:44.937Z] INCONSISTÊNCIA FINANCEIRA venda=10192 calculado=1510.00 ateTotal=1050.00
[2026-09-18T18:22:45.005Z] INCONSISTÊNCIA FINANCEIRA venda=10193 calculado=450.00 ateTotal=380.00
[2026-09-18T18:22:45.075Z] INCONSISTÊNCIA FINANCEIRA venda=10194 calculado=1730.00 ateTotal=1300.00
[2026-09-18T18:22:45.145Z] INCONSISTÊNCIA FINANCEIRA venda=10195 calculado=750.00 ateTotal=380.00
[2026-09-18T18:22:45.213Z] INCONSISTÊNCIA FINANCEIRA venda=10196 calculado=1820.00 ateTotal=1200.00
[2026-09-18T18:22:45.499Z] INCONSISTÊNCIA FINANCEIRA venda=10200 calculado=1140.00 ateTotal=900.00
[2026-09-18T18:22:45.569Z] INCONSISTÊNCIA FINANCEIRA venda=10201 calculado=1150.00 ateTotal=1120.00
[2026-09-18T18:22:45.670Z] INCONSISTÊNCIA FINANCEIRA venda=10202 calculado=770.00 ateTotal=590.00
[2026-09-18T18:22:45.741Z] INCONSISTÊNCIA FINANCEIRA venda=10203 calculado=391.29 ateTotal=1320.00
[2026-09-18T18:22:45.880Z] INCONSISTÊNCIA FINANCEIRA venda=10205 calculado=810.00 ateTotal=640.00
[2026-09-18T18:22:46.092Z] INCONSISTÊNCIA FINANCEIRA venda=10208 calculado=730.00 ateTotal=600.00
[2026-09-18T18:22:46.166Z] INCONSISTÊNCIA FINANCEIRA venda=10209 calculado=840.00 ateTotal=600.00
[2026-09-18T18:22:46.348Z] INCONSISTÊNCIA FINANCEIRA venda=10211 calculado=-142.86 ateTotal=1000.00
[2026-09-18T18:22:46.349Z] INCONSISTÊNCIA NOS ITENS venda=10211 calculado=-142.86 itemTotalGeral=1.00
[2026-09-18T18:22:46.418Z] INCONSISTÊNCIA FINANCEIRA venda=10212 calculado=990.00 ateTotal=850.00
[2026-09-18T18:22:46.485Z] INCONSISTÊNCIA FINANCEIRA venda=10213 calculado=700.00 ateTotal=480.00
[2026-09-18T18:22:46.771Z] INCONSISTÊNCIA FINANCEIRA venda=10217 calculado=381.14 ateTotal=1000.00
[2026-09-18T18:22:46.978Z] INCONSISTÊNCIA FINANCEIRA venda=10220 calculado=381.14 ateTotal=1200.00
[2026-09-18T18:22:47.051Z] INCONSISTÊNCIA FINANCEIRA venda=10221 calculado=820.00 ateTotal=780.00
[2026-09-18T18:22:47.119Z] INCONSISTÊNCIA FINANCEIRA venda=10222 calculado=1180.00 ateTotal=930.00
[2026-09-18T18:22:47.191Z] INCONSISTÊNCIA FINANCEIRA venda=10223 calculado=1140.00 ateTotal=930.00
[2026-09-18T18:22:47.262Z] INCONSISTÊNCIA FINANCEIRA venda=10225 calculado=810.00 ateTotal=700.00
[2026-09-18T18:22:47.328Z] INCONSISTÊNCIA FINANCEIRA venda=10226 calculado=810.00 ateTotal=500.00
[2026-09-18T18:22:47.415Z] INCONSISTÊNCIA FINANCEIRA venda=10227 calculado=772.00 ateTotal=580.00
[2026-09-18T18:22:47.485Z] INCONSISTÊNCIA FINANCEIRA venda=10228 calculado=710.00 ateTotal=400.00
[2026-09-18T18:22:47.555Z] INCONSISTÊNCIA FINANCEIRA venda=10229 calculado=790.00 ateTotal=450.00
[2026-09-18T18:22:47.630Z] INCONSISTÊNCIA FINANCEIRA venda=10230 calculado=1170.00 ateTotal=870.00
[2026-09-18T18:22:47.704Z] INCONSISTÊNCIA FINANCEIRA venda=10231 calculado=990.00 ateTotal=900.00
[2026-09-18T18:22:47.773Z] INCONSISTÊNCIA FINANCEIRA venda=10232 calculado=870.00 ateTotal=700.00
[2026-09-18T18:22:47.852Z] INCONSISTÊNCIA FINANCEIRA venda=10233 calculado=1460.00 ateTotal=1100.00
