prodId,name,reason
255,LENTE P HOYALUX22GP1.5/ I,já existe
256,LENTE P HOYALUX22GP1.5/ AR,já existe
257,LENTE PR1.50 ARGOS TF TRANSIT AR,já existe
258,LENTE PR1.53 ARGOS TF INC.,já existe
259,LENTE PR1.53 ARGOS TF AR,já existe
260,LENTE PR1.53 ARGOS TF TRANSIT AR,já existe
261,LENTE PR1.53 ARGOS TF TRANSIT,já existe
262,LENTE ARGOS 1.60 AR NR BC,já existe
263,LENTE PR1.50 ARGOS TF AR,já existe
265,LENTE VS1.67 STYLIS CRIZAL C4,já existe
266,LENTE VS1.74 STYLIS CRIZAL C4,já existe
267,LENTE VS1.67 STYLIS CRIZAL C2,já existe
268,LENTE VS1.74 STYLIS1.74 CRIZAL C2,já existe
269,LENTE VS STYLIS1.67CZ4 TRANT,já existe
270,LENTE VS1.67 STYLIS TRANSIT CRIZAL C4,já existe
271,LENTE VS1.59 TRANS CRIZAL C4,já existe
272,LENTE VS1.49 CRIZAL C-4,já existe
273,LENTE VS1.49 TRANT VII CRIZAL C-2,já existe
274,LENTE VS1.59 TRANT VII C2,já existe
275,LENTE VS1.49 CRIZAL C-2,já existe
276,LENTE VS1.49 TRANT VII CRIZAL C-4,já existe
277,LENTE VS1.49 TRANT VII C-2,já existe
278,LENTE VS1.74 STYLIS CRIZAL C6,já existe
279,LENTE VS1.67 STYLIS TRANSIT CRIZAL C6,já existe
280,LENTE VS1.67 STYLIS CRIZAL C6,já existe
281,LENTE VS1.59 TRANSIT CRIZAL C6,já existe
282,LENTE VS1.59 TRANS C6,já existe
283,LENTE VS1.59 CRIZAL C6,já existe
284,LENTE VS1.59 INC C-6,já existe
285,LENTE VS1.49 TRANST CRIZAL C-6,já existe
286,LENTE VS1.49 TRANT C-6,já existe
287,LENTE VARILUX CONF1.5 CRIZAL EASY PRO,já existe
288,LENTE VARILUX PHYSIO CZ EASY PRO,já existe
289,LENTE P VARILUX POLY T/CZ,já existe
290,LENTE P VARILUX CONF POLY TRAN,já existe
291,LENTE P VARILUX POLY POLARZ/CZ,já existe
292,LENTE P VARILUX POLY POLARZ/INC,já existe
293,LENTE P VARILUX POLY/CZ,já existe
294,LENTE VARILUX LIBET360 POLY TRANST CZ SAPPHIRE,já existe
295,LENTE VARILUX TRANS,já existe
296,LENTE P VARILUX LIB POLY/CZ,já existe
297,LENTE P VARILUX POLY/INC,já existe
298,LENTE P VARILUX LIB POLY T/CZ,já existe
299,LENTE P VARILUX LIB POLY/INC,já existe
300,LENTE PR HAYTEK 1.50 ACAB AR,já existe
302,LENTE P GT2/AR-MAR,já existe
303,LENTE PR ZEISS GT21.59 FOTOFUSION AR DURAV CHROME UV,já existe
304,LENTE P GT2 POLY/AR-PLATINUM,já existe
305,LENTE P 1.50 GT2 FOTO/AR-PLATINUM,já existe
306,LENTE GT2 1.60 AR DURAVISION CHROME UV,já existe
307,LENTE P GT2/AR-PLATINUM,já existe
308,LENTE P GT21.67 FOTO/AR-PLATINUM,já existe
309,LENTE P GT2 POLY FOTO/INC,já existe
310,LENTE P GT21.67 FOTO/AR-MAR,já existe
311,LENTE P GT2 POLY FOTO/AR-MAR,já existe
312,LENTE P 1.50 GT2 FOTO/AR-MAR,já existe
313,LENTE P GT2 POLY AR-MAR,já existe
314,VARILUX LIBERTY ORMA CRIZAL EASY PRO,já existe
315,LENTE P VARILUX LIB TAN/INC,já existe
316,LENTE VS1.59 ACABADA AR,já existe
317,ARMAÇÃO SEGURANÇA,já existe
318,OCULOS SOLAR DETROIT,já existe
319,LENTE VS1.53 ACABADA AR -6+3C-2,já existe
320,LENTE VS1.53 ACABADA TRANSIT AR C-2,já existe
321,LENTE VS1.53 ACABADA AR +6-6C-2,já existe
322,LENTE VS1.53 ACABADA INC C-2,já existe
323,LENTE VS1.53 ACABADA TRANSIT C-2,já existe
324,ARMAÇÃO Z FORA DE LINHA,já existe
325,"LENTE P SOLAMAX1,67 E-12+8C-4/INC",já existe
326,ARMAÇÃO METAL,já existe
327,LENTE PR GRAND VIEW1.5 TRANSITIONS,já existe
328,LENTE PR GRAND VIEW1.5 AR,já existe
329,LENTE GRAND VIEW 1.50 INC,já existe
330,LENTE PR GRAND VIEW1.5 TRANSITIOS AR,já existe
331,LENTE P 1.53 GRAND VIEW / AR,já existe
332,LENTE P 1.53 GRAND VIEW / INC,já existe
333,LENTE P 1.53 GRAND VIEW / TRANT,já existe
334,LENTE P 1.53 GRAND VIEW TRANT / AR,já existe
335,ARMAÇÃO HAGNUS,já existe
336,ARMAÇÃO Z FORA DE LINHA,já existe
337,LENTE VS1.59 AR C-2,já existe
338,OCULOS SOLAR PAOLA PIOVANI,já existe
339,LENTE VS1.53 SURF AR +8-10C4,já existe
340,OCULOS DE LEITURA,já existe
341,LENTE VS1.50 TRANT AR,já existe
342,ATUALIZAR PRODUTO1,já existe
343,ARMAÇÃO METAL,já existe
345,VARILUX COMFORT MAX ORMA BLUE UV TGEN8 CRZ EASY PRO,já existe
346,LENTE AMPLUS 1.50 AR CE,já existe
347,LENTE VS1.49 TRANS C4,já existe
348,LENTE VS1.49 TRANSIT C4,já existe
349,ARMAÇÃO DIOCULOS,já existe
350,LENTE P 1.50 ESPACE/TRANT III,já existe
351,LENTE P 1.50 ESPACE/TRANS III,já existe
352,LENTE VS1.49 ACABADA AR C-2,já existe
353,LENTE VS1.56 ACABADA AR C-4,já existe
354,LENTE AMPLUS 1.53 INCOLOR,já existe
355,LENTE AMPLUS 1.50 SENSITY AR,já existe
356,LENTE VS1.59 SURF TRANT AR A. I.,já existe
357,LENTE VS1.67 TRANSIT AR,já existe
358,LENTE VS1.67 TRANSIT / AR,já existe
359,ARMAÇÃO KEEPER,já existe
360,ARMAÇÃO NYLON,já existe
